Temp	Sal	DO	Chl	Time	Sample_Name	Light	Latitude	Longitude	Latitude_dec	Longitude_dec
26.95	35.386	210.86	0.2219	18:57	1	Dark	24 32.102	156 18.565	24.5350333	156.3094167
26.901	35.388	210.54	0.2368	22:36	2	Dark	24 29.828	156 18.432	24.4971333	156.3072
26.869	35.388	209.92	0.234	2:51	3	Dark	24 29.978	156 18.715	24.4996333	156.3119167
26.855	35.391	209.75	0.2357	6:49	4	Light	24 29.752	156 17.862	24.4958667	156.2977
26.853	35.389	210.32	0.2247	12:52	5	Light	24 29.874	156 18.114	24.4979	156.3019
26.918	35.391	210.56	0.1903	14:54	6	Light	24 28.889	156 18.043	24.4814833	156.3007167
26.95	35.394	210.59	0.2335	18:46	7	Dark	24 28.697	156 17.802	24.4782833	156.2967
26.88	35.395	210.57	0.2525	22:42	8	Dark	24 28.370	156 17.574	24.4728333	156.2929
26.833	35.395	210.44	0.252	2:57	9	Dark	24 24.917	156 18.835	24.4152833	156.3139167
26.789	35.394	210.46	0.2365	6:56	10	Light	24 24.822	156 18.886	24.4137	156.3147667
26.786	35.394	210.66	0.2373	10:52	11	Light	24 24.798	156 18.737	24.4133	156.3122833
26.806	35.392	211.39	0.2035	14:46	12	Light	24 24.281	156 21.318	24.4046833	156.3553
26.876	35.397	210.8	0.2315	18:57b	13	Dark	24 23.868	156 21.008	24.3978	156.3501333
26.826	35.395	210.68	0.2453	22:52	14	Dark	24 21.701	156 20.598	24.3616833	156.3433
26.771	35.396	210.52	0.245	2:47	15	Dark	24 20.768	156 20.802	24.3461333	156.3467
26.758	35.398	210.38	0.247	6:47	16	Light	24 20.911	156 18.824	24.3485167	156.3137333
26.733	35.395	210.6	0.2277	10:49	17	Light	24 17.375	156 24.496	24.2895833	156.4082667
26.796	35.398	211.13	0.2258	14:51	18	Light	24 17.144	156 24.716	24.2857333	156.4119333
25.788	35.4	211.24	0.2651	18:53	19	Dark	24 16.990	156 23.242	24.2831667	156.3873667
